File,Commit,Author,Commit Message,Start Line,End Line,Previous Author,Previous Commit,Keyword Label,Commit Date,Previous Commit Date
solutions/object_oriented_design/deck_of_cards/deck_of_cards.ipynb,1f939ec,Narendra Choudhary Legha,Resolve #195: Fix broken GitHub URLs (#199),7,7,Bryan Jennings,6c4c2ab,1,2018-08-13 00:49:30,2017-12-02 01:51:33
solutions/object_oriented_design/deck_of_cards/deck_of_cards.ipynb,6c4c2ab,Bryan Jennings,Simplify logic for is_ace and is_face_card in deck of cards solution (#113),96,96,Donne Martin,0f517c7,0,2017-12-02 01:51:33,2017-03-04 02:53:01
solutions/object_oriented_design/deck_of_cards/deck_of_cards.ipynb,0f517c7,Donne Martin,Add Deck of Cards solution,93,95,,,0,2017-03-04 02:53:01,
solutions/object_oriented_design/deck_of_cards/deck_of_cards.ipynb,0f517c7,Donne Martin,Add Deck of Cards solution,97,124,,,0,2017-03-04 02:53:01,
solutions/object_oriented_design/deck_of_cards/deck_of_cards.ipynb,6c4c2ab,Bryan Jennings,Simplify logic for is_ace and is_face_card in deck of cards solution (#113),92,92,Donne Martin,0f517c7,0,2017-12-02 01:51:33,2017-03-04 02:53:01
solutions/object_oriented_design/deck_of_cards/deck_of_cards.ipynb,0f517c7,Donne Martin,Add Deck of Cards solution,8,91,,,0,2017-03-04 02:53:01,
solutions/object_oriented_design/deck_of_cards/deck_of_cards.ipynb,0f517c7,Donne Martin,Add Deck of Cards solution,126,195,,,0,2017-03-04 02:53:01,
solutions/object_oriented_design/deck_of_cards/deck_of_cards.ipynb,06b3ed2,Joilson Cisne,Fix loop bug in deck of cards exercise (#396),125,125,Narendra Choudhary Legha,1f939ec,1,2020-07-08 00:56:05,2018-08-13 00:49:30
resources/flash_cards/System Design Exercises.apkg,ed2d35e,Donne Martin,Add Anki flashcards,1,279,,,0,2017-03-08 05:27:48,
resources/flash_cards/System Design.apkg,7e9b9b2,Donne Martin,Update system design flashcards,107,107,,,0,2017-03-08 11:00:32,
resources/flash_cards/System Design.apkg,aecb070,Donne Martin,Update system design flashcards (#56),108,169,,,0,2017-04-09 17:15:57,
resources/flash_cards/System Design.apkg,aecb070,Donne Martin,Update system design flashcards (#56),1,106,,,0,2017-04-09 17:15:57,
solutions/object_oriented_design/lru_cache/__init__.py,ae9832c,Donne Martin,Add LRU Cache solution,1,0,,,0,2017-03-04 02:53:54,
